REQUESTID,STRSEGID,REQUESTTYP,Request type cleaned,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,STRSEGID,Additional_COMMENTS,,,,,,,,,,,,,
15,2970134022929701790056,Jaywalking,Jaywalking,2/7/2018,Wed,,drives,HAMILTON AV & POPE AL,Hamilton Av,Northside,2970134022929701790056,Enforce jaywalking tickets.,,,,,,,,,,,,,
15,2970134022929701790056,Jaywalking,Jaywalking,2/7/2018,Wed,,drives,HAMILTON AV & POPE AL,Hamilton Av,Northside,2970134022929701790056,Agreed,,,,,,,,,,,,,
16,3017668630430182556219,Speeding,Speeding,2/7/2018,Wed,,walks,CARY AV & HARBESON AV,Harbeson Av,College Hill,3017668630430182556219,,,,,,,,,,,,,,
33,3624136930836262638322,""" src=""images/11 - Sidewalk issue.png""></span>&nbsp;No Sidewalks",No Sidewalks,2/7/2018,Wed,"Many people walk along Galbraith road to go to Kroger or to work and there is no adequate, safe walkway.  The side of the road turns to mud in the fall and spring.",travels (other),W GALBRAITH RD & RIDGEVIEW DR,W Galbraith Rd,Hartwell,3624136930836262638322,,,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,Agree; vehicles rarely stop. Better signage or the flashing lights system like the one in Old Montgomery may help,,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,100% agree. I would love to have the flashing crosswalk like in old Montgomery here. I feel like IΓÇÖm playing real life frogger every time I cross here.,,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,"Yes! People can stand at this crosswalk for a very long time. No vehicles yield, and to cross, pedestrians have to jump into oncoming traffic",,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,agree,,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,This is a super high pedestrian area without adequate crosswalks.,,,,,,,,,,,,,
34,4078269283540784252814,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,SHAW AV & RRXING NORFOLK AND WESTERN,Wasson Rd,Oakley,4078269283540784252814,"AGreed, including officers.",,,,,,,,,,,,,
35,3314231842333151928656,Speeding,Speeding,2/7/2018,Wed,Once cars heading west get through light at Central and W 9th they drive at high speeds through this area.,drives,CENTRAL AV & W 9TH ST,W 9th St,West End,3314231842333151928656,I agree.,,,,,,,,,,,,,
36,3369309314033693363445,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/7/2018,Wed,I have almost been hit in this crosswalk multiple times. Children walking to school are not safe.,walks,YOUNG ST & DORCHESTER AV,Young St,Mt. Auburn,3369309314033693363445,,,,,,,,,,,,,,
37,3315002986233150259734,Speeding,Speeding,2/7/2018,Wed,After the court street intersection drivers treat this street as a shortcut and drive 15-20 mph over the speed limit. There are a lot or residential homes west of central and it can be dangerous crossing the street because of this.,walks,CENTRAL AV & CLARK ST,Central Av,West End,3315002986233150259734,I agree,,,,,,,,,,,,,
37,3315002986233150259734,Speeding,Speeding,2/7/2018,Wed,After the court street intersection drivers treat this street as a shortcut and drive 15-20 mph over the speed limit. There are a lot or residential homes west of central and it can be dangerous crossing the street because of this.,walks,CENTRAL AV & CLARK ST,Central Av,West End,3315002986233150259734,I agree,,,,,,,,,,,,,
38,3314231842333151928656,Other,Other,2/7/2018,Wed,"Cars parked here in front of building at 4:00 pm, others are loading and unloading passengers, causing traffic backups.",drives,CENTRAL AV & W 9TH ST,W 9th St,West End,3314231842333151928656,AGREED!! VERY DANGEROUS FOR PEDESTRIANS AND CARS.,,,,,,,,,,,,,
38,3314231842333151928656,Other,Other,2/7/2018,Wed,"Cars parked here in front of building at 4:00 pm, others are loading and unloading passengers, causing traffic backups.",drives,CENTRAL AV & W 9TH ST,W 9th St,West End,3314231842333151928656,I agree,,,,,,,,,,,,,
39,3306739263333069572386,Jaywalking,Jaywalking,2/7/2018,Wed,"Since walkers canΓÇÖt connect to Back/Hamer through Grant Park, many use Sharp Alley instead to go around the park. As a result they donΓÇÖt cross at Lang and instead jaywalk at the alley.",walks,E MCMICKEN AV & SHARP AL,E McMicken Av,Over-the-Rhine,3306739263333069572386,,,,,,,,,,,,,,
40,4249564269742499902656,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,Cars are parked too closely to the intersection for easy visibility off drake,drives,DRAKE AV & WASSON RD,Wasson Rd,Oakley,4249564269742499902656,"I agree, dangerous to pull out.",,,,,,,,,,,,,
41,4254958621045450255724,Parking on the sidewalk,Parking on the sidewalk,2/7/2018,Wed,"Residents on the North side park on the street / sidewalk, in a clearly marked no parking area",walks,BROTHERTON RD & PAXTON WOODS LN,Paxton Woods Ln,Oakley,4254958621045450255724,,,,,,,,,,,,,,
