"ix","iy","lat","long"
22,3,39.0545599516453,-84.4161433507257
23,3,39.0545623270483,-84.4184025597949
24,3,39.054564658866,-84.4206617690146
25,3,39.0545669470985,-84.4229209783822
26,3,39.0545691917457,-84.4251801878948
27,3,39.0545713928077,-84.4274393975496
28,3,39.0545735502843,-84.4296986073438
29,3,39.0545756641757,-84.4319578172747
30,3,39.0545777344818,-84.4342170273395
31,3,39.0545797612025,-84.4364762375353
32,3,39.054581744338,-84.4387354478594
33,3,39.0545836838881,-84.4409946583091
34,3,39.0545855798529,-84.4432538688814
35,3,39.0545874322324,-84.4455130795736
36,3,39.0545892410266,-84.447772290383
37,3,39.0545910062354,-84.4500315013067
38,3,39.0545927278589,-84.452290712342
39,3,39.0545944058971,-84.4545499234861
40,3,39.0545960403499,-84.4568091347361
41,3,39.0545976312173,-84.4590683460893
42,3,39.0545991784994,-84.4613275575428
43,3,39.0546006821961,-84.4635867690941
44,3,39.0546021423075,-84.4658459807401
45,3,39.0546035588335,-84.4681051924781
46,3,39.0546049317741,-84.4703644043054
47,3,39.0546062611293,-84.4726236162192
48,3,39.0546075468992,-84.4748828282166
49,3,39.0546087890837,-84.4771420402949
50,3,39.0546099876828,-84.4794012524513
51,3,39.0546111426964,-84.4816604646829
52,3,39.0546122541247,-84.4839196769871
53,3,39.0546133219676,-84.486178889361
54,3,39.0546143462251,-84.4884381018019
55,3,39.0546153268972,-84.4906973143068
56,3,39.0546162639839,-84.4929565268732
57,3,39.0546171574852,-84.4952157394981
58,3,39.054618007401,-84.4974749521787
59,3,39.0546188137315,-84.4997341649124
60,3,39.0546195764765,-84.5019933776963
61,3,39.0546202956361,-84.5042525905275
62,3,39.0546209712103,-84.5065118034035
63,3,39.0546216031991,-84.5087710163212
64,3,39.0546221916024,-84.5110302292779
65,3,39.0546227364204,-84.513289442271
66,3,39.0546232376528,-84.5155486552975
67,3,39.0546236952999,-84.5178078683546
68,3,39.0546241093615,-84.5200670814397
69,3,39.0546244798377,-84.5223262945498
70,3,39.0546248067285,-84.5245855076823
71,3,39.0546250900338,-84.5268447208343
72,3,39.0546253297537,-84.529103934003
73,3,39.0546255258882,-84.5313631471857
74,3,39.0546256784372,-84.5336223603795
75,3,39.0546257874008,-84.5358815735817
76,3,39.054625852779,-84.5381407867895
77,3,39.0546258745717,-84.5404
78,3,39.054625852779,-84.5426592132106
79,3,39.0546257874008,-84.5449184264183
80,3,39.0546256784372,-84.5471776396205
81,3,39.0546255258882,-84.5494368528143
82,3,39.0546253297537,-84.551696065997
83,3,39.0546250900338,-84.5539552791657
84,3,39.0546248067285,-84.5562144923177
85,3,39.0546244798377,-84.5584737054502
86,3,39.0546241093615,-84.5607329185603
87,3,39.0546236952999,-84.5629921316454
88,3,39.0546232376528,-84.5652513447026
89,3,39.0546227364203,-84.5675105577291
90,3,39.0546221916024,-84.5697697707221
91,3,39.0546216031991,-84.5720289836788
92,3,39.0546209712103,-84.5742881965966
93,3,39.0546202956361,-84.5765474094725
94,3,39.0546195764765,-84.5788066223037
95,3,39.0546188137315,-84.5810658350876
96,3,39.054618007401,-84.5833250478213
97,3,39.0546171574852,-84.5855842605019
98,3,39.0546162639839,-84.5878434731268
99,3,39.0546153268972,-84.5901026856932
100,3,39.0546143462251,-84.5923618981981
101,3,39.0546133219676,-84.594621110639
102,3,39.0546122541247,-84.5968803230129
103,3,39.0546111426965,-84.5991395353171
104,3,39.0546099876828,-84.6013987475488
105,3,39.0546087890837,-84.6036579597051
106,3,39.0546075468992,-84.6059171717834
107,3,39.0546062611293,-84.6081763837808
108,3,39.0546049317741,-84.6104355956946
109,3,39.0546035588335,-84.6126948075219
110,3,39.0546021423075,-84.6149540192599
111,3,39.0546006821961,-84.617213230906
112,3,39.0545991784994,-84.6194724424572
113,3,39.0545976312173,-84.6217316539108
114,3,39.0545960403499,-84.6239908652639
115,3,39.0545944058971,-84.626250076514
116,3,39.0545927278589,-84.628509287658
117,3,39.0545910062354,-84.6307684986933
118,3,39.0545892410266,-84.633027709617
119,3,39.0545874322324,-84.6352869204264
120,3,39.0545855798529,-84.6375461311186
121,3,39.0545836838881,-84.6398053416909
122,3,39.054581744338,-84.6420645521406
123,3,39.0545797612025,-84.6443237624647
124,3,39.0545777344818,-84.6465829726605
125,3,39.0545756641757,-84.6488421827253
126,3,39.0545735502843,-84.6511013926562
127,3,39.0545713928077,-84.6533606024504
128,3,39.0545691917457,-84.6556198121052
129,3,39.0545669470985,-84.6578790216178
130,3,39.054564658866,-84.6601382309854
131,3,39.0545623270483,-84.6623974402051
132,3,39.0545599516453,-84.6646566492743
133,3,39.054557532657,-84.6669158581901
134,3,39.0545550700835,-84.6691750669496
135,3,39.0545525639248,-84.6714342755503
136,3,39.0545500141808,-84.6736934839892
137,3,39.0545474208516,-84.6759526922635
