cell_id,min_walk_score,max_walk_score,mean_walk_score,med_sale_pbo_n,log_sum_cost_pedestrian_events,log_num_near_misses,log_n_rqst,log_access,log_dblprk,log_dnotyld,log_jywalk,log_lvisib,log_lwfws,log_nobikef,log_noswlk,log_other,log_prkint,log_prkswlk,log_speed,log_vrrlss,log_wlksig,log_xwalk,log_assist,log_bikes,log_drives,log_other.1,log_walks,log_num_walk_scores,log_sum_lane_cnt,log_sum_width,log_sum_area,log_num_streets,log_num_fire_incd,log_med_sale_res_y,log_med_sale_res_n,log_med_sale_com_y,log_med_sale_com_n,log_med_sale_ind_y,log_med_sale_ind_n,log_med_sale_pbo_y,log_sum_cost.y,log_num_events.y,log_dist,log_n_object,log_animals_insects,log_building.related,log_construction,log_food,log_others,log_police.property,log_service.complaint,log_street_sidewalk,log_traffic_sig0l,log_trash,log_trees_plants,log_water.leak,log_zoning_parking,log_n_request
30019,12,15,13.5,0,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,0.693197179,2.484914983,4.718499764,10.21141334,1.386319361,-9.210340372,12.08987445,11.47468347,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.99665606,2.484914983,1.00E-04,0.693197179,-9.210340372,-9.210340372,2.302595093,-9.210340372,1.00E-04,1.00E-04,-9.210340372,4.624973794,0.693197179,-9.210340372,-9.210340372,4.779124333
30020,19,29,24.5,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.386319361,5.049856648,7.447751338,13.33778922,4.204694112,-9.210340372,12.07249468,11.66838176,11.91710475,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.746843895,2.484914983,1.00E-04,1.00E-04,-9.210340372,-9.210340372,2.484914983,1.098645621,1.386319361,1.791776136,-9.210340372,4.127135998,1.00E-04,-9.210340372,-9.210340372,4.499810781
30021,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,5.638355025,7.851272036,14.18288812,4.465909268,-9.210340372,11.55437207,11.05797595,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.516700656,2.56495705,-4.536324392,2.484914983,-9.210340372,1.945924435,-9.210340372,-9.210340372,3.496510592,-9.210340372,1.098645621,2.197235688,-9.210340372,4.969813994,1.386319361,-9.210340372,-9.210340372,5.298317867
30022,11,18,14.5,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179,5.556828448,7.819636343,14.15877468,4.584968499,-9.210340372,11.51603064,10.91239393,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.310761574,1.00E-04,-4.363323435,2.484914983,0.693197179,-9.210340372,1.00E-04,-9.210340372,3.465739028,1.098645621,1.386319361,1.945924435,-9.210340372,5.081404986,0.693197179,-9.210340372,-9.210340372,5.356586746
30046,57,57,57,0,0.791226251,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179,4.488637493,6.670766448,12.71590978,3.43399043,-9.210340372,11.64278199,11.14596928,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.52005991,2.302595093,-5.188672064,1.791776136,0.693197179,0.693197179,-9.210340372,-9.210340372,2.995737274,1.609457912,0.693197179,2.302595093,-9.210340372,5.017280499,1.386319361,-9.210340372,-9.210340372,5.278115169
40013,49,49,49,0,-9.210340372,-9.210340372,2.302595093,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.197235688,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,2.197235688,1.00E-04,2.397904364,4.795791372,11.1969948,1.609457912,-9.210340372,11.41778263,10.46055725,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-5.246380729,2.484914983,1.00E-04,2.079454042,-9.210340372,-9.210340372,2.772594972,1.098645621,1.00E-04,1.098645621,-9.210340372,4.330734656,1.386319361,-9.210340372,1.00E-04,4.727388704
40014,42,42,42,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,2.639064472,5.003946977,11.35038301,1.945924435,-9.210340372,11.94908304,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-5.683549352,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.945924435,-9.210340372,-9.210340372,1.386319361,-9.210340372,3.9702938,1.00E-04,1.00E-04,-9.210340372,4.189656257
40015,38,38,38,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,3.9702938,6.333279806,12.5589805,-9.210340372,-9.210340372,11.76884594,9.977063245,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.71411517,2.56495705,-6.211148091,2.484914983,-9.210340372,1.00E-04,-9.210340372,-9.210340372,1.386319361,-9.210340372,1.00E-04,1.098645621,-9.210340372,4.077539139,-9.210340372,-9.210340372,-9.210340372,4.219509176
40016,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.189656257,6.572282683,13.29047444,2.890377313,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,6.208863832,3.988985898,-7.242115348,2.484914983,-9.210340372,1.791776136,1.00E-04,-9.210340372,3.9702938,-9.210340372,-9.210340372,3.367299278,1.00E-04,-9.210340372,1.00E-04,-9.210340372,-9.210340372,4.510860605
40017,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.9702938,6.333279806,12.5589805,-9.210340372,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.718544406,2.484914983,-6.358690385,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179
40018,17,17,17,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,4.92725441,7.140453122,13.94176516,3.82864357,-9.210340372,12.52373661,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-5.612741029,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621,-9.210340372,1.098645621,3.0445272,-9.210340372,3.637588791,-9.210340372,-9.210340372,-9.210340372,4.174388808
40019,2,20,8,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621,5.068904831,7.268223091,13.60828465,3.9702938,-9.210340372,12.51891064,12.04887483,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.310761574,1.00E-04,-5.170370337,2.484914983,-9.210340372,0.693197179,-9.210340372,-9.210340372,2.397904364,-9.210340372,0.693197179,3.258100384,1.00E-04,4.574712009,-9.210340372,1.00E-04,-9.210340372,4.941643137
40020,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,5.241747544,7.544861122,13.76605767,4.204694112,-9.210340372,12.11724143,11.67701516,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-4.86281603,2.484914983,1.00E-04,2.079454042,-9.210340372,-9.210340372,3.091046999,-9.210340372,-9.210340372,3.0445272,-9.210340372,4.564349233,1.945924435,-9.210340372,-9.210340372,5.043425762
40021,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.976734432,7.151485542,13.46451659,3.82864357,-9.210340372,11.42792679,10.9964841,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.697048496,1.386319361,-4.637534506,1.791776136,-9.210340372,0.693197179,-9.210340372,-9.210340372,3.218879825,1.386319361,-9.210340372,2.56495705,1.00E-04,4.753591053,-9.210340372,-9.210340372,-9.210340372,5.081404986
40022,11,31,24.33333333,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621,4.276667508,6.43775181,12.90633446,3.218879825,-9.210340372,11.525506,10.86360377,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.409367251,1.098645621,-4.555972676,2.484914983,1.00E-04,2.833219226,0.693197179,-9.210340372,3.526363466,1.386319361,0.693197179,2.397904364,0.693197179,5.257495893,1.098645621,-9.210340372,-9.210340372,5.590987354
40023,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621,3.218879825,9.096163338,1.00E-04,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.310761574,1.00E-04,-4.576698382,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.791776136,-9.210340372,1.098645621,1.00E-04,-9.210340372,4.094346229,-9.210340372,-9.210340372,-9.210340372,4.248496671
40024,9,9,9,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,2.302595093,4.787492576,10.67336427,1.609457912,-9.210340372,12.50705463,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.559521714,2.484914983,-9.210340372,-9.210340372,1.00E-04,-9.210340372,1.098645621,-9.210340372,1.00E-04,-9.210340372,-9.210340372,2.944444242,-9.210340372,-9.210340372,-9.210340372,3.178057997
40046,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.43399043,5.652489531,11.55870157,2.397904364,-9.210340372,11.77611631,10.93880499,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.390194437,2.079454042,-5.678424425,1.791776136,1.609457912,1.791776136,-9.210340372,-9.210340372,3.135498564,2.56495705,1.00E-04,2.484914983,-9.210340372,5.446737803,1.386319361,-9.210340372,-9.210340372,5.690359792
50014,35,44,38,0,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,1.098645621,5.010635961,7.358830962,13.96453038,4.158884646,-9.210340372,11.981212,11.22844227,12.09121579,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-5.663250314,1.791776136,1.098645621,1.386319361,-9.210340372,-9.210340372,3.091046999,1.00E-04,-9.210340372,2.484914983,1.00E-04,5.111988391,1.609457912,0.693197179,1.00E-04,5.379897814
