"ix","iy","cell_id","lat","long","State","County","City","Name","RegionID"
111,12,1110012,39.0759749514627,-84.6183428187517,"OH","Hamilton","Cincinnati","Riverside","203181"
112,12,1120012,39.0759734257339,-84.6206020302553,"OH","Hamilton","Cincinnati","Riverside","203181"
113,12,1130012,39.0759718564129,-84.6228612416599,"OH","Hamilton","Cincinnati","Riverside","203181"
114,12,1140012,39.0759702434997,-84.6251204529625,"OH","Hamilton","Cincinnati","Riverside","203181"
115,12,1150012,39.0759685869943,-84.6273796641605,"OH","Hamilton","Cincinnati","Riverside","203181"
2,13,20013,39.0781299205592,-84.3720887899533,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
3,13,30013,39.0781331464321,-84.3743479955234,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
4,13,40013,39.0781363287123,-84.3766072012987,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
7,13,70013,39.0781456139969,-84.3833848198277,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
8,13,80013,39.0781486219064,-84.3856440263959,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
9,13,90013,39.0781515862231,-84.3879032331552,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,13,200013,39.0781813165869,-84.4127545193305,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,13,210013,39.0781837577906,-84.4150137281668,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,13,220013,39.0781861554015,-84.417272937158,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
23,13,230013,39.0781885094196,-84.4195321463014,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
24,13,240013,39.0781908198449,-84.4217913555942,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
25,13,250013,39.0781930866774,-84.4240505650335,"OH","Hamilton","Cincinnati","California","199824"
26,13,260013,39.078195309917,-84.4263097746166,"OH","Hamilton","Cincinnati","East End","273544"
27,13,270013,39.0781974895638,-84.4285689843407,"OH","Hamilton","Cincinnati","East End","273544"
28,13,280013,39.0781996256178,-84.4308281942029,"OH","Hamilton","Cincinnati","East End","273544"
99,13,990013,39.0782398619082,-84.5912322739985,"OH","Hamilton","Cincinnati","Riverside","203181"
100,13,1000013,39.0782388592695,-84.5934914864738,"OH","Hamilton","Cincinnati","Riverside","203181"
101,13,1010013,39.0782378130379,-84.5957506988834,"OH","Hamilton","Cincinnati","Riverside","203181"
102,13,1020013,39.0782367232132,-84.5980099112247,"OH","Hamilton","Cincinnati","Riverside","203181"
103,13,1030013,39.0782355897957,-84.6002691234947,"OH","Hamilton","Cincinnati","Riverside","203181"
104,13,1040013,39.0782344127851,-84.6025283356908,"OH","Hamilton","Cincinnati","Riverside","203181"
105,13,1050013,39.0782331921817,-84.6047875478101,"OH","Hamilton","Cincinnati","Riverside","203181"
106,13,1060013,39.0782319279853,-84.6070467598498,"OH","Hamilton","Cincinnati","Riverside","203181"
