"ix","iy","cell_id","lat","long"
70,63,"00700063",39.1907500774408,-84.5257150960712
71,63,"00710063",39.1907503392119,-84.5279743092473
72,63,"00720063",39.1907505573545,-84.5302335224389
73,63,"00730063",39.1907507318686,-84.5324927356431
74,63,"00740063",39.1907508627541,-84.5347519488571
75,63,"00750063",39.190750950011,-84.5370111620781
76,63,"00760063",39.1907509936394,-84.5392703753033
77,63,"00770063",39.1907509936392,-84.54152958853
78,63,"00780063",39.1907509500105,-84.5437888017552
79,63,"00790063",39.1907508627532,-84.5460480149762
80,63,"00800063",39.1907507318673,-84.5483072281902
81,63,"00810063",39.1907505573529,-84.5505664413944
82,63,"00820063",39.19075033921,-84.552825654586
83,63,"00830063",39.1907500774385,-84.5550848677621
84,63,"00840063",39.1907497720385,-84.55734408092
85,63,"00850063",39.1907494230099,-84.5596032940569
86,63,"00860063",39.1907490303527,-84.5618625071699
87,63,"00870063",39.190748594067,-84.5641217202563
88,63,"00880063",39.1907481141528,-84.5663809333132
89,63,"00890063",39.19074759061,-84.5686401463379
90,63,"00900063",39.1907470234387,-84.5708993593275
91,63,"00910063",39.1907464126388,-84.5731585722792
92,63,"00920063",39.1907457582104,-84.5754177851902
93,63,"00930063",39.1907450601535,-84.5776769980578
94,63,"00940063",39.190744318468,-84.5799362108791
95,63,"00950063",39.190743533154,-84.5821954236513
96,63,"00960063",39.1907427042114,-84.5844546363716
97,63,"00970063",39.1907418316403,-84.5867138490372
98,63,"00980063",39.1907409154407,-84.5889730616453
99,63,"00990063",39.1907399556126,-84.5912322741931
100,63,"01000063",39.1907389521559,-84.5934914866777
101,63,"01010063",39.1907379050707,-84.5957506990965
102,63,"01020063",39.190736814357,-84.5980099114465
103,63,"01030063",39.1907356800148,-84.6002691237249
104,63,"01040063",39.1907345020441,-84.6025283359291
105,63,"01050063",39.1907332804449,-84.6047875480561
106,63,"01060063",39.1907320152172,-84.6070467601032
107,63,"01070063",39.1907307063609,-84.6093059720675
108,63,"01080063",39.1907293538762,-84.6115651839462
109,63,"01090063",39.190727957763,-84.6138243957366
110,63,"01100063",39.1907265180213,-84.6160836074358
111,63,"01110063",39.1907250346511,-84.6183428190411
112,63,"01120063",39.1907235076524,-84.6206020305495
113,63,"01130063",39.1907219370253,-84.6228612419584
114,63,"01140063",39.1907203227696,-84.6251204532649
115,63,"01150063",39.1907186648855,-84.6273796644662
