OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
190,CINCINNATI,CINCINNATI,UM,
191,CINCINNATI,CINCINNATI,RMX,
192,CINCINNATI,CINCINNATI,PR,
193,CINCINNATI,CINCINNATI,CN-P,
194,CINCINNATI,CINCINNATI,CN-P,
195,CINCINNATI,CINCINNATI,MG,
196,CINCINNATI,CINCINNATI,CN-M,
197,CINCINNATI,CINCINNATI,SF-10,
198,CINCINNATI,CINCINNATI,CC-A,
199,CINCINNATI,CINCINNATI,RM-1.2,
200,CINCINNATI,CINCINNATI,PR,
201,CINCINNATI,CINCINNATI,CC-A,
202,CINCINNATI,CINCINNATI,PR,
203,CINCINNATI,CINCINNATI,SF-2,
204,CINCINNATI,CINCINNATI,SF-20,
205,CINCINNATI,CINCINNATI,PR,
206,CINCINNATI,CINCINNATI,SF-10,
241,CINCINNATI,CINCINNATI,CC-A,
242,CINCINNATI,CINCINNATI,RM-2.0,
243,CINCINNATI,CINCINNATI,SF-6,
244,CINCINNATI,CINCINNATI,RM-1.2,
245,CINCINNATI,CINCINNATI,PR,
246,CINCINNATI,CINCINNATI,RMX,
247,CINCINNATI,CINCINNATI,PR,
248,CINCINNATI,CINCINNATI,SF-2,
249,CINCINNATI,CINCINNATI,CC-A,
250,CINCINNATI,CINCINNATI,ML,
251,CINCINNATI,CINCINNATI,OG,
252,CINCINNATI,CINCINNATI,SF-4,
253,CINCINNATI,CINCINNATI,SF-6,
254,CINCINNATI,CINCINNATI,SF-20,
255,CINCINNATI,CINCINNATI,PR,
223,CINCINNATI,CINCINNATI,CC-M,
224,CINCINNATI,CINCINNATI,CC-P,
225,CINCINNATI,CINCINNATI,CC-P,
226,CINCINNATI,CINCINNATI,SF-6,
227,CINCINNATI,CINCINNATI,SF-10,
228,CINCINNATI,CINCINNATI,SF-2,
229,CINCINNATI,CINCINNATI,CC-A,
230,CINCINNATI,CINCINNATI,RMX,
231,CINCINNATI,CINCINNATI,PR,
232,CINCINNATI,CINCINNATI,CC-P,
233,CINCINNATI,CINCINNATI,ML,
