sum_cost_pedestrian_events,cell_id,num_near_misses,n_rqst,access,dblprk,dnotyld,jywalk,lvisib,lwfws,nobikef,noswlk,other,prkint,prkswlk,speed,vrrlss,wlksig,xwalk,assist,bikes,drives,other.1,walks,mean_walk_score,min_walk_score,max_walk_score,num_walk_scores,sum_lane_cnt,sum_width,sum_area,num_streets,num_fire_incd,med_sale_res_y,med_sale_res_n,med_sale_com_y,med_sale_com_n,med_sale_ind_y,med_sale_ind_n,med_sale_pbo_y,med_sale_pbo_n,sum_cost.y,num_events.y,dist,n_object,animals_insects,building.related,construction,food,others,police.property,service.complaint,street_sidewalk,traffic_sig0l,trash,trees_plants,water.leak,zoning_parking,n_request
0,30022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,11,18,2,259,2489,1409541,98,0,100311,54852,0,0,0,0,0,0,10.082,1,0.01263599,12,2,0,1,0,32,3,4,7,0,161,2,0,0,212
2.206,30046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57,2,89,789,333004,31,0,113866.5,69284,0,0,0,0,0,0,91.841,10,0.005479411,6,2,2,0,0,20,5,2,10,0,151,4,0,0,196
0,40013,0,10,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,9,49,49,49,1,11,121,72911,5,0,90924.305,34911,0,0,0,0,0,0,0,0,0.005166545,12,1,8,0,0,16,3,1,3,0,76,4,0,1,113
0,40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,1,14,149,84998,7,0,154675.25,129108,0,0,0,0,0,0,20.164,2,0.003301464,12,0,0,0,0,7,0,0,4,0,53,1,1,0,66
0,40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,1,53,563,284640,0,0,129165,21527,0,0,0,0,0,0,111.51,13,0.001906932,12,0,1,0,0,4,0,1,3,0,59,0,0,0,68
0,40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,66,715,591534,18,0,161385,129108,0,0,0,0,0,0,497.136,54,0.000615796,12,0,6,1,0,53,0,0,29,1,0,1,0,0,91
0,40017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,112.005,12,0.001631633,12,0,0,0,0,1,0,0,0,1,0,0,0,0,2
0,40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,1,138,1262,1134571,46,0,274782.9,129108,0,0,0,0,0,0,20.164,2,0.003551048,12,0,0,0,0,3,0,3,21,0,38,0,0,0,65
0,40019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,20,3,159,1434,812836,53,0,273460,170907,0,0,0,0,0,0,10.082,1,0.005582464,12,0,2,0,0,11,0,2,26,1,97,0,1,0,140
0,40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,189,1891,951750,67,0,183000,117832,0,0,0,0,0,0,20.164,2,0.007628689,12,1,8,0,0,22,0,0,21,0,96,7,0,0,155
0,40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,145,1276,703988,46,0,91851.35,59664,0,0,0,0,0,0,40.328,4,0.009581538,6,0,2,0,0,25,4,0,13,1,116,0,0,0,161
0,40022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.33333333,11,31,3,72,625,402856,25,0,101266,52240,0,0,0,0,0,0,30.246,3,0.010404278,12,1,17,2,0,34,4,2,11,2,192,3,0,0,268
0,40023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,3,25,8921,1,0,161385,129108,0,0,0,0,0,0,10.082,1,0.01018881,12,0,0,0,0,6,0,3,1,0,60,0,0,0,70
0,40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,1,10,120,43190,5,0,270237,129108,0,0,0,0,0,0,0,0,0.010367064,12,0,0,1,0,3,0,1,0,0,19,0,0,0,24
0,40046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,31,285,104684,11,0,130107.5,56320,0,0,0,0,0,0,80.656,8,0.003318941,6,5,6,0,0,23,13,1,12,0,232,4,0,0,296
0,50014,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38,35,44,3,150,1570,1160696,64,0,159725.5,75240.3,178298.75,0,0,0,0,0,20.164,2,0.003371216,6,3,4,0,0,22,1,0,12,1,166,5,2,1,217
0,50015,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,46,44,48,0,23,193,163388,8,0,160699.8,70320.453,0,0,0,0,0,0,10.082,1,0.003064699,6,0,2,0,0,4,0,0,1,0,47,3,1,0,58
0,50016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,2,6,60,43101,3,0,163840,129108,0,0,0,0,0,0,212.775,25,0.001300285,12,0,3,0,0,8,0,2,6,0,71,2,0,3,95
0,50017,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,56,56,56,2,27,260,115314,8,0,139359,129108,0,0,0,0,0,0,173.246,21,0.000590699,12,0,2,0,0,19,1,1,19,1,17,0,0,3,63
0.304,50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,242974.9,129108,0,0,0,0,0,0,21.267,3,0.002673207,12,0,6,0,0,4,0,0,7,0,24,1,0,5,47
0,50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.004558335,6,0,1,0,0,1,0,0,1,0,18,2,0,0,23
0,50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,4,37,34871,1,0,161385,129108,0,0,0,0,0,0,60.796,7,0.006579478,6,0,0,0,0,4,0,1,1,0,1,0,0,0,7
0,50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,86,1,33,315,134972,16,0,141242.5,67912,0,0,0,0,0,0,32.897,7,0.008224702,12,0,6,0,0,23,1,0,8,0,52,1,0,0,91
0.304,50022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,1,66,616,653422,22,0,290925,129108,0,0,0,0,0,0,20.468,3,0.008155569,12,0,0,0,0,9,1,2,6,0,106,2,0,0,126
0,50023,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,5,13.66666667,11,17,3,122,1073,583695,41,0,221103,141048,0,0,0,0,0,0,0,0,0.007929614,12,0,0,0,0,6,0,0,2,0,108,0,0,0,116
0,50024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,31,339,232950,14,0,161385,129108,0,0,0,0,0,0,0,0,0.008128722,12,0,0,0,0,0,0,0,0,0,48,0,0,0,48
0,50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,1,69,628,208551,23,0,89520,59664,113300,0,0,0,0,0,335.329,39,0.001077634,6,6,9,0,0,49,1,2,12,0,224,9,1,0,313
0,50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,1,9,79,25593,3,0,115001.25,54852,0,0,0,0,0,0,30.246,3,0.001610247,6,0,0,0,0,7,0,4,3,0,104,5,0,0,123
0,50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,1,9,100,49407,4,0,110467.5,53760,0,0,0,0,0,0,40.632,5,0.002116435,6,1,10,0,0,25,0,1,27,0,115,5,0,0,184
0,50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,28,39,2,64,644,123628,32,0,83493.75,103770,265065,0,0,0,0,0,50.41,5,0.002439087,6,0,5,0,0,5,0,1,1,0,5,2,0,0,19
0,50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,69653.91,55723.128,0,0,0,0,0,0,0,0,0.003065662,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,1,30,250,212360,10,0,152337.5,129108,200898,142230,0,0,0,0,40.328,4,0.001138164,6,0,8,0,0,17,1,1,8,0,87,4,0,1,127
0,60015,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,33,33,33,1,256,2152,1719337,83,0,162573,79552,0,0,0,0,0,0,0,0,0.000805893,6,0,12,0,0,31,1,1,3,2,91,4,1,1,147
0,60016,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,46,44,48,0,37,352,223702,14,0,150274.463,129108,925440,5665,0,0,0,0,92.449,12,0.000907924,6,5,8,0,0,32,3,0,9,0,140,0,0,2,199
10.082,60017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,80,897,346180,34,0,149556,164756.85,290585,5665,0,0,0,0,391.749,48,0.000406147,6,3,35,0,0,52,2,2,27,1,99,1,0,10,232
0,60018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,45,58,2,110,1320,951257,55,0,201674,175008.843,0,0,0,0,0,0,92.944,11,0.001636342,6,1,18,1,0,26,0,1,27,0,87,1,0,8,170
0,60019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,2,24,22962,1,0,221015,129108,0,0,0,0,0,0,0,0,0.003664198,6,0,2,0,0,6,0,0,7,0,31,0,0,0,46
0,60020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,18,161,76717,5,0,75358,87694.2,361725,0,0,0,0,0,71.981,9,0.005492622,6,1,7,0,0,35,0,4,13,1,126,2,0,2,191
0,60021,0,27,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,7,0,20,52,52,52,1,28,224,197474,14,0,142488.6,87924,0,0,0,0,0,0,20.164,2,0.005965561,12,0,9,0,0,27,0,4,13,0,68,7,1,8,137
0,60022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,53,563,284640,0,0,266900.9,138738.9,0,0,0,0,0,0,10.082,1,0.005897027,12,0,4,0,0,3,0,0,2,0,71,0,0,0,80
0,60023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,2,3,26,17726,1,0,222000,139681.5,0,0,0,0,0,0,0,0,0.005670428,12,0,1,0,0,2,0,3,0,0,82,0,0,0,88
0,60024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8,9,2,213,1966,2269928,77,0,277995,129108,0,0,0,0,0,0,0,0,0.005906284,12,0,0,0,0,13,2,0,8,0,53,0,0,0,76
1.103,60046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,48,456,156768,16,0,91548,61440,74055,0,0,0,0,0,401.527,48,0.000916841,6,4,22,0,0,53,5,3,22,0,218,16,0,0,343
0,60047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,59,59,59,1,86,955,515300,35,0,81737.5,54026.712,0,0,0,0,0,0,202.856,24,0.000751977,6,4,15,0,0,63,3,0,14,0,194,22,1,0,316
0,60048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,62,687,200725,21,0,65154,62454,0,0,0,0,0,0,131.37,14,0.000284389,6,6,17,0,0,57,0,1,51,0,187,33,0,1,353
0.304,60049,0,16,0,0,1,5,1,0,0,1,2,0,0,4,0,0,2,0,1,11,0,4,33,33,33,1,115,3660,231305,74,0,14869.5,40960,220890,0,0,0,0,0,265.886,31,0.000387112,6,2,25,0,0,61,1,0,24,0,57,11,0,0,181
0.304,60050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,1,78,695,390755,28,0,16780.5,37686,0,0,0,0,0,0,30.246,3,0.001791779,6,0,27,0,0,50,3,0,47,0,49,15,0,1,192
0,70013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33333333,38,43,3,4,34,22404,2,0,158537.5,163150.1555,0,0,0,0,0,0,0,0,0.002270901,6,0,3,0,0,4,0,3,1,0,47,3,0,0,61
0,70014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,82,749,591620,46,0,148083.75,35968,256000,0,0,0,0,0,30.246,3,0.000979107,6,1,13,0,0,13,1,2,6,0,98,7,0,3,144
0,70015,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,42,42,42,1,14,140,223748,14,0,192665,129108,0,0,0,0,0,0,30.246,3,0.001283297,6,0,1,0,0,7,0,1,2,0,19,1,0,0,31
0,70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,4,32,14427,2,0,167932.25,121600,153600,0,0,0,0,0,80.656,8,0.001639582,6,0,6,0,0,8,0,0,1,0,77,4,0,2,98
0,70017,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,56,56,56,1,28,340,219751,15,0,229432.5,129108,0,0,0,0,0,0,112.005,12,0.001645068,6,4,21,2,0,33,1,0,6,0,73,0,1,7,148
0,70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,150,1441,950953,73,0,221012,83842,141644.5,0,0,0,0,0,143.354,16,0.0004781,6,1,17,0,0,30,0,2,8,3,81,0,0,13,155
0,70019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,1,7,71,39557,4,0,157489.5,129108,0,0,0,0,0,0,10.082,1,0.002619132,6,0,1,0,0,1,0,4,6,4,79,1,0,0,96
0,70020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,1,66,616,306517,20,0,116865,51785,286775.25,0,0,0,0,0,294.888,32,0.003568234,12,6,13,0,0,38,1,2,11,0,113,1,0,0,185
0,70021,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,60,60,60,1,53,563,284640,0,0,151265.5,93610,18331569.56,0,0,0,0,0,31.349,4,0.003706499,12,0,1,0,0,12,0,0,2,0,34,0,0,1,50
0,70022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,3,25,9369,1,0,225300,129108,0,0,0,0,0,0,0,0,0.003639313,12,0,1,0,0,5,2,1,7,0,43,0,0,0,59
0,70023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,18,2,54,450,414990,18,0,148944.6,98359.25,0,0,0,0,0,0,10.082,1,0.003411269,12,0,0,0,0,3,0,0,4,0,25,0,0,0,32
0,70024,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,46,44,48,0,102,850,611598,34,0,179072,129108,0,0,0,0,0,0,0,0,0.003728294,12,0,2,0,0,9,0,3,19,1,68,1,0,0,103
0,70025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,9,77,73632,3,0,161385,129108,0,0,0,0,0,0,0,0,0.004953883,12,0,1,0,0,0,0,0,2,0,6,0,0,0,9
10.386,70045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,1,28,275,67324,11,0,112167,75000,0,0,0,0,0,0,131.066,13,0.001125206,6,0,1,0,0,16,1,2,33,0,126,0,0,0,179
0.304,70046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,1,27,290,114934,13,0,117463.5,68365,0,0,0,0,0,0,100.82,10,0.00142299,6,0,8,0,0,25,3,4,25,0,189,5,0,0,259
0,70047,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,46,44,48,0,116,1173,315183,68,0,116370,104412,0,0,0,0,0,0,81.264,10,0.00266902,6,5,11,1,0,51,5,2,45,0,180,17,1,0,318
0,70048,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,48,47,49,2,91,1090,674471,47,0,121542,87704.4,0,0,0,0,0,0,20.164,2,0.002207597,6,1,3,1,0,18,0,1,15,0,93,0,0,0,132
0.608,70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,1,84,763,177963,35,0,33671,32392.58,214252.5,19888,0,0,0,0,151.23,15,0.000894666,6,3,20,0,0,59,5,1,14,0,176,20,0,1,299
0,70050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,1,85,827,221914,35,0,40795.26,43054,0,0,0,0,0,0,110.902,11,0.001423814,6,1,21,2,0,46,9,2,37,0,210,10,2,0,340
0,80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,1,20,221,131513,9,0,254670,129108,0,0,0,0,0,0,0,0,0.003880091,6,0,2,0,0,9,0,2,14,0,79,2,0,0,108
0,80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,32,345,150306,16,0,167512.5,86814,0,0,0,0,0,0,41.431,5,0.003234719,6,0,7,0,0,18,2,3,17,0,79,5,0,1,132
0,80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,1,3,35,33297,2,0,160086.85,111300,0,0,0,0,0,0,60.492,6,0.003494411,6,2,8,0,0,31,3,3,1,0,110,1,0,0,159
0,80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,24,213,148035,9,0,134584.75,82189,1066525,0,0,0,0,0,151.23,15,0.00377652,6,0,7,0,0,27,5,0,4,0,82,2,0,5,132
0,80017,0,15,0,0,0,0,0,0,0,0,1,0,0,11,2,0,1,0,0,2,0,13,46,44,48,0,43,533,260222,33,0,134612.157,75038,518006.828,148695,0,0,0,0,70.574,7,0.002637173,6,6,9,0,0,27,3,1,8,2,74,0,0,0,130
0,80018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,206,2058,699213,69,2,156453,73136,188713.35,0,0,0,0,0,273.925,30,0.000547081,6,0,21,0,0,45,2,5,11,2,79,1,0,4,170
1.407,80019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1,28,299,118906,9,4,180890.7,113300,368505,0,0,0,0,0,507.409,53,0.001152296,6,0,11,0,15,52,0,0,24,2,40,1,0,1,146
1.407,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,71,1,101,940,530461,27,0,117760,3512.3,1437996,84730.338,0,0,0,0,1196.902,126,0.001309169,12,2,33,0,3,56,4,0,27,0,114,2,0,0,241
0.141,80021,0,18,0,0,0,3,1,0,0,1,0,0,0,7,0,0,6,2,0,13,0,3,38.5,7,70,2,17,163,41584,9,0,72568.713,29630.25,224000,0,0,0,0,0,244.782,28,0.001447894,12,9,62,0,8,78,0,4,13,2,136,0,0,2,314
0,80022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66,1,29,345,104213,14,0,159104,101970,0,0,0,0,0,0,232.989,24,0.001386482,12,2,5,0,0,21,2,1,5,0,32,0,0,0,68
0,80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,28,250,171518,10,0,241088,129108,0,0,0,0,0,0,103.026,12,0.001152305,12,5,9,0,0,24,0,1,21,0,54,8,0,0,122
0,80024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,17,175,88953,7,0,193288,104391,0,0,0,0,0,0,40.773,6,0.001767513,12,0,0,0,0,9,0,0,33,0,61,2,0,1,106
0,80025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,1,48,600,498144,24,0,173735,89763,0,0,0,0,0,0,0,0,0.003241633,12,0,1,0,0,7,0,0,0,1,30,0,0,0,39
0,80026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.00497575,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,65,68,2,41,394,128960,17,0,102147,50859,863337,0,0,0,0,0,92.449,12,0.001251463,6,0,17,1,0,46,4,1,54,0,159,12,0,0,294
0,80046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,6,53,2,161,1541,354129,79,0,106614.55,74778,100160,51200,0,0,0,0,112.005,12,0.001506999,6,0,8,0,0,71,5,4,68,1,177,15,0,2,351
0,80047,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,46,44,48,0,68,747,179478,34,0,80445.26,65351.44,0,0,0,0,0,0,40.328,4,0.003544137,6,2,14,0,0,58,4,1,26,0,97,12,1,0,215
