sample_index,x-tsne,y-tsne,cell_id,lat,long,min_walk_score,max_walk_score,mean_walk_score,med_sale_pbo_n,log_sum_cost_pedestrian_events,log_num_near_misses,log_n_rqst,log_access,log_dblprk,log_dnotyld,log_jywalk,log_lvisib,log_lwfws,log_nobikef,log_noswlk,log_other,log_prkint,log_prkswlk,log_speed,log_vrrlss,log_wlksig,log_xwalk,log_assist,log_bikes,log_drives,log_other.1,log_walks,log_num_walk_scores,log_sum_lane_cnt,log_sum_width,log_sum_area,log_num_streets,log_num_fire_incd,log_med_sale_res_y,log_med_sale_res_n,log_med_sale_com_y,log_med_sale_com_n,log_med_sale_ind_y,log_med_sale_ind_n,log_med_sale_pbo_y,log_sum_cost.y,log_num_events.y,log_dist,log_n_object,log_animals_insects,log_building.related,log_construction,log_food,log_others,log_police.property,log_service.complaint,log_street_sidewalk,log_traffic_sig0l,log_trash,log_trees_plants,log_water.leak,log_zoning_parking,log_n_request,avg_pop(K),avg_request,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10,kmeans_11,kmeans_labels
438,-7.244803372,2.380858304,200030,39.11643133,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.382151627,6.82438454,14.17100081,3.689129423,-4.605170186,11.83674666,11.61360312,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.724270729,1.611435915,-4.403441914,2.485739636,-4.605170186,-4.605170186,-4.605170186,0.009950331,0.009950331,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.101940079,21.34,0,1,2,0,2,4,1,4,1,8,1,2
439,3.314313653,6.115466375,200031,39.11868133,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.970480575,6.33329739,12.55898054,-4.605170186,-4.605170186,11.83674666,11.61360312,-4.605170186,-4.605170186,15.04929689,-4.605170186,-4.605170186,6.024708299,3.912222985,-4.508578373,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.398803951,-4.605170186,-4.605170186,3.951436008,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,4.159039321,21.34,3,0,2,2,1,2,4,7,3,2,2,2
440,0.201056407,-6.407768586,200032,39.12093133,-84.41275452,28,28,28,0,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,0.009950331,4.574814066,6.960357217,12.56066897,3.466048354,-4.605170186,11.05584375,11.55441293,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,6.307477119,4.094511215,-4.367677596,2.485739636,-4.605170186,3.17847041,-4.605170186,-4.605170186,4.317621438,2.303584593,-4.605170186,3.892024359,-4.605170186,5.356633443,2.198335072,-4.605170186,1.388791241,5.948061099,21.34,18,1,1,1,0,3,2,3,2,5,7,1
441,9.121825508,6.343414942,200033,39.12318134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.793424749,4.262820712,10.09394302,1.101940079,-4.605170186,11.37349108,11.18572624,10.02835698,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.370243741,1.101940079,-4.459340689,1.793424749,-4.605170186,1.793424749,-4.605170186,-4.605170186,2.398803951,0.009950331,0.009950331,1.611435915,-4.605170186,3.784416881,0.698134722,-4.605170186,-4.605170186,4.248638089,21.34,3,0,0,2,3,1,0,5,0,6,10,0
442,9.126568864,6.349274863,200034,39.12543134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.828858764,6.109269805,13.86464258,2.565718293,-4.605170186,11.83674666,11.61360312,10.02835698,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.595329331,1.388791241,-4.598303814,1.793424749,-4.605170186,0.698134722,0.009950331,-4.605170186,3.367640598,-4.605170186,-4.605170186,2.63977136,0.009950331,3.17847041,1.611435915,-4.605170186,-4.605170186,4.330864911,21.34,4,0,0,2,3,1,0,5,0,6,10,0
443,-1.10412805,-7.189155614,200035,39.12768134,-84.41275452,10,20,15,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.698134722,5.214990104,7.43012007,13.62888336,4.248638089,-4.605170186,12.87249593,11.61360312,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.004394647,0.698134722,-4.417679098,1.611435915,-4.605170186,1.388791241,-4.605170186,-4.605170186,3.434309733,-4.605170186,-4.605170186,3.044998515,0.009950331,4.174541104,1.388791241,0.009950331,-4.605170186,4.844265824,21.34,6,1,1,3,0,3,2,3,2,5,7,1
444,-4.815527389,5.342734144,200036,39.12993134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.430935839,6.781068977,13.61826744,3.434309733,-4.605170186,12.39723009,12.66872561,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.246674541,1.611435915,-4.605170186,0.009950331,-4.605170186,-4.605170186,1.611435915,-4.605170186,-4.605170186,2.303584593,-4.605170186,3.871409323,1.101940079,-4.605170186,-4.605170186,4.204841862,55.98,1,1,2,0,2,4,1,4,1,8,1,2
445,4.041477097,-1.212921195,200037,39.13218134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,5.60583883,7.832018149,14.95965183,4.219654753,-4.605170186,12.89186915,12.66872561,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.311743031,0.009950331,-4.100668033,1.611435915,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.388791241,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.388791241,55.98,0,0,0,1,3,0,3,2,7,0,4,0
446,4.404023144,-1.423339553,200038,39.13443134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,5.480680589,7.832018149,15.87178582,4.094511215,-4.605170186,12.89186915,12.66872561,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.311743031,0.009950331,-3.973284768,1.611435915,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,55.98,0,0,0,1,3,0,3,2,7,0,4,0
447,-14.70891672,-8.593189727,200039,39.13668134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.970480575,6.33329739,12.55898054,-4.605170186,-4.605170186,12.89186915,12.66872561,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-3.878694231,1.793424749,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,55.98,0,1,1,3,4,5,5,6,4,7,8,1
448,1.899989785,-0.231724966,200040,39.13893134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.970480575,6.33329739,12.55898054,-4.605170186,-4.605170186,12.89186915,12.66872561,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.409694512,1.101940079,-3.921518243,1.793424749,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.698134722,-4.605170186,-4.605170186,0.698134722,-4.605170186,2.198335072,-4.605170186,-4.605170186,-4.605170186,2.565718293,55.98,0,0,0,1,3,0,3,2,7,0,4,0
449,9.77688886,-7.286053443,200041,39.14118134,-84.41275452,37,37,37,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,2.565718293,4.976802706,11.20202949,1.793424749,-4.605170186,12.64483957,12.08111021,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.61343593,2.303584593,-3.941768344,1.793424749,0.009950331,0.698134722,-4.605170186,-4.605170186,2.890927159,0.009950331,0.698134722,2.890927159,-4.605170186,5.093811549,0.009950331,0.009950331,-4.605170186,5.332767101,78.56,3,0,0,1,3,1,6,1,5,1,0,0
450,9.925594923,-7.294061438,200042,39.14343134,-84.41275452,37,37,37,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.698134722,4.634826071,6.809050344,13.49856445,3.555633735,-4.605170186,12.75841982,12.62490406,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.107688468,1.947337701,-3.986424244,1.793424749,-4.605170186,1.388791241,-4.605170186,-4.605170186,1.947337701,-4.605170186,-4.605170186,1.947337701,-4.605170186,4.262820712,0.009950331,-4.605170186,-4.605170186,4.499920775,78.56,1,0,0,1,3,1,6,1,5,1,0,0
451,7.3915475,13.68871213,200043,39.14568134,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.890927159,5.112048028,12.01678091,1.101940079,-4.605170186,13.50360411,13.64169275,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.079899319,1.793424749,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,0.698134722,1.611435915,-4.605170186,1.611435915,-4.605170186,-4.605170186,-4.605170186,2.565718293,78.56,0,0,2,2,1,2,4,7,3,2,2,2
452,5.64871016,14.87105554,200044,39.14793135,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.970480575,6.33329739,12.55898054,-4.605170186,-4.605170186,12.8480476,12.62490406,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.166832162,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,78.56,0,0,2,2,1,2,4,7,3,2,2,2
453,12.90806386,-0.215214577,200045,39.15018135,-84.41275452,17,17,17,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,4.356837024,6.496790073,13.37739623,3.663818024,-4.605170186,13.03531748,12.34336419,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.280417788,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.198335072,-4.605170186,0.009950331,1.793424749,-4.605170186,4.442768897,0.009950331,-4.605170186,-4.605170186,4.625070848,78.56,1,0,0,1,3,1,0,5,0,6,5,0
454,12.44108276,3.029190305,200046,39.15243135,-84.41275452,15,25,21.66666667,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.101940079,4.521897267,6.800181204,13.04024404,3.761432647,-4.605170186,12.86850288,12.1726855,12.52405994,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.508086434,2.198335072,-4.437399058,2.485739636,-4.605170186,0.698134722,-4.605170186,-4.605170186,3.555633735,1.388791241,0.698134722,3.044998515,0.009950331,4.585069514,0.009950331,-4.605170186,-4.605170186,5.099927402,99.32,2,0,0,2,3,1,0,5,0,6,5,0
455,1.546132511,-3.309143991,200047,39.15468135,-84.41275452,74,74,74,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,3.496810546,5.857961726,11.73667691,2.398803951,-4.605170186,12.02670678,11.03592155,12.53113905,12.15145811,-4.605170186,-4.605170186,-4.605170186,5.412364544,3.219275745,-4.546257051,2.485739636,-4.605170186,1.101940079,0.698134722,-4.605170186,3.526654599,1.101940079,-4.605170186,2.773213527,-4.605170186,4.736286164,1.388791241,-4.605170186,-4.605170186,5.170540812,99.32,2,0,0,1,0,0,3,2,7,0,4,0
456,-6.762565833,-2.908209189,200048,39.15693135,-84.41275452,44,48,46,0,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,3.970480575,6.33329739,12.55898054,-4.605170186,-4.605170186,12.39582904,12.1726855,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.004394647,0.698134722,-4.376262002,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,99.32,0,1,1,3,4,5,5,6,4,4,3,1
