"cell_id","binary_predictor"
340036,0
340037,0
340038,0
340039,1
340040,1
340041,1
340042,1
340057,0
340058,0
340059,0
350030,0
350031,0
350032,0
350033,0
350034,0
350035,0
350036,0
350037,0
350038,0
350039,0
350040,1
350041,1
350042,1
350057,0
350058,0
350059,0
360031,0
360032,0
360033,0
360034,0
360035,0
360036,0
360037,0
360038,0
360039,1
360040,1
360041,0
360042,1
360044,0
360058,0
360059,0
370031,0
370032,0
370033,0
370034,0
370035,0
370036,0
370037,0
370038,0
370039,1
370040,1
370041,0
370042,0
370043,0
370058,0
370059,0
370068,0
380032,0
380033,0
380034,0
380035,0
380036,0
380037,0
380038,0
380039,0
380040,1
380041,1
380042,0
380043,0
380058,0
380059,0
380066,0
380067,0
380068,0
380070,1
390032,0
390033,0
390034,0
390035,0
390036,0
390037,0
390038,0
390039,0
390040,0
390041,1
390042,0
390043,0
390058,0
390059,1
390060,1
390061,0
390062,0
390063,1
390064,0
390065,0
390066,0
390067,1
390068,1
390069,1
390070,1
390071,0
390072,0
400032,0
400033,0
400034,0
400035,0
400036,0
400037,0
400038,1
400039,0
400040,0
400041,0
400042,0
400043,0
400058,0
400059,0
400060,0
400061,1
400062,0
400063,1
400064,0
400065,1
400066,1
400067,1
400068,1
400069,1
400070,1
400071,0
400072,0
410033,0
410034,0
410035,0
410036,0
410037,0
410038,1
410039,0
410040,0
410041,0
410042,0
410043,0
410053,0
410054,0
410055,0
410056,0
410057,1
410058,0
410059,0
410060,0
410061,1
410062,1
410063,0
410064,1
410065,1
410066,1
410067,0
410068,1
410069,0
410070,0
410071,0
410072,0
420033,0
420034,1
420035,0
420036,1
420037,1
420038,0
420039,0
420040,0
420041,0
420042,1
420043,1
420053,0
420054,0
420055,0
420056,1
420057,0
420058,0
420059,1
420060,0
420061,0
420062,1
420063,1
420064,1
420065,0
420066,0
420067,0
420068,1
420069,0
420070,0
420071,0
420072,0
420073,0
420074,1
420075,1
430033,1
430037,1
430038,0
430039,0
430040,1
430041,0
430042,1
430043,1
430053,0
430054,0
430055,0
430056,0
430057,0
430058,0
430059,1
430060,0
430061,1
430062,0
430063,1
430064,0
430065,0
430066,1
430067,0
430068,0
430069,0
430070,0
430071,1
430072,0
430073,0
430074,0
430075,0
440033,0
440038,0
440039,1
440040,0
440041,1
440042,1
440043,1
440051,0
440052,0
440053,0
440054,1
440055,1
440056,1
440057,1
440058,0
440059,0
440060,0
440061,0
440062,1
440063,0
440064,0
440065,0
440066,0
440067,0
440068,1
440069,1
440070,1
440071,0
440072,1
440073,1
440074,0
440075,0
450033,0
450038,0
450039,1
450040,1
450041,0
450042,0
450043,1
450051,0
450052,1
450053,0
450054,1
450055,1
450056,0
450057,1
450058,0
450059,0
450060,0
450061,1
450062,1
450063,1
450064,0
450065,0
450066,0
450067,0
450068,1
450069,0
450070,0
450071,0
450072,1
450073,1
450074,1
460033,1
460038,0
460039,1
460040,1
460041,0
460042,1
460043,0
460044,1
460045,0
460046,0
460047,0
460048,1
460051,1
460052,1
460053,0
460054,0
460055,0
460056,1
460057,1
460058,0
460059,0
460060,0
460061,0
460062,0
460063,0
460064,0
460065,0
460066,0
460067,0
460068,0
460069,0
460070,1
460071,0
460072,0
460073,0
460074,0
470032,0
470037,1
470038,1
470039,0
470040,1
470041,1
470042,0
470043,1
470044,1
470045,0
470046,0
470047,0
470048,1
470049,1
470050,0
470051,0
470052,0
470053,0
470054,0
470055,1
