"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
220047,39.1546861894296,-84.4172729368748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
230030,39.1164385271452,-84.4195321461576,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,0,2,6
230033,39.1231885302615,-84.4195321461322,0,0,1,1,0,0,0,2,0,0,0,2,0,0,2,0,0,6,0,2,21
230046,39.1524385437246,-84.4195321460221,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,3
230047,39.1546885447575,-84.4195321460137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2
230058,39.1794385560933,-84.4195321459205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
230061,39.1861885591767,-84.4195321458951,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,2,4
240034,39.1254408425207,-84.421791355414,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,13
240036,39.129940844671,-84.4217913553968,0,1,3,1,1,0,0,1,0,2,1,2,2,0,1,0,0,5,1,9,42
240040,39.1389408489666,-84.4217913553625,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4
240043,39.1456908521841,-84.4217913553367,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4
240044,39.1479408532558,-84.4217913553281,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,0,1,5
240045,39.150190854327,-84.4217913553196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
240046,39.1524408553979,-84.421791355311,0,2,0,1,2,1,0,0,3,4,1,1,4,2,0,0,0,11,1,9,22
240050,39.1614408596773,-84.4217913552766,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3
240051,39.1636908607461,-84.421791355268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
240060,39.1839408703473,-84.4217913551907,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2
250007,39.0646930799414,-84.4240505650856,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
250038,39.1344431145811,-84.4240505648163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
250041,39.1411931179119,-84.4240505647903,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,4
250042,39.1434431190213,-84.4240505647816,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,1,10
250046,39.1524431234548,-84.4240505647468,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,4
250059,39.1816931378173,-84.4240505646338,0,0,1,0,0,2,0,0,0,0,0,1,3,1,0,0,0,2,0,6,16
250062,39.1884431411216,-84.4240505646077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
260030,39.1164453295406,-84.4263097744674,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,4,7
260032,39.120945331841,-84.4263097744498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
260035,39.1276953352884,-84.4263097744235,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
260036,39.1299453364367,-84.4263097744147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
260046,39.1524453478953,-84.4263097743269,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
260057,39.1771953604498,-84.4263097742303,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,6
260059,39.1816953627268,-84.4263097742127,0,0,1,0,1,0,0,0,1,1,1,6,1,0,1,0,0,4,1,8,17
260060,39.1839453638646,-84.4263097742039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
270020,39.0939474979102,-84.4285689842787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
270031,39.1186975109818,-84.4285689841813,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
270035,39.1276975157217,-84.4285689841458,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
