"cell_id","lat_cell","long_cell","category","valid_sale","median_sale_price","max_sale_price","num_prop_sales"
930038,39.1344950114522,-84.5776769979918,"residential","N",38533,105935.5,12
930038,39.1344950114522,-84.5776769979918,"residential","Y",28063.75,89040,22
930039,39.1367450134091,-84.5776769979944,"residential","N",52118,91074.56,5
930039,39.1367450134091,-84.5776769979944,"residential","Y",25685.67,71830,16
930040,39.1389950153653,-84.5776769979971,"commercial","N",51788,89496,2
930040,39.1389950153653,-84.5776769979971,"commercial","Y",10344,10344,1
930040,39.1389950153653,-84.5776769979971,"residential","N",41168,87148.2,12
930040,39.1389950153653,-84.5776769979971,"residential","Y",25042.5,185393.45,30
930042,39.1434950192755,-84.5776769980024,"commercial","N",90640,90640,1
930042,39.1434950192755,-84.5776769980024,"commercial","Y",19827.5,19827.5,1
930042,39.1434950192755,-84.5776769980024,"residential","N",25887.36,83157.668,10
930042,39.1434950192755,-84.5776769980024,"residential","Y",14599,1732672,22
930043,39.1457450212295,-84.577676998005,"commercial","N",942696.16,1436600,2
930043,39.1457450212295,-84.577676998005,"residential","N",12930,18284,3
930043,39.1457450212295,-84.577676998005,"residential","Y",10880,14366,5
930046,39.1524950270869,-84.5776769980129,"residential","N",80784,87010,4
930046,39.1524950270869,-84.5776769980129,"residential","Y",91420,121600,13
930048,39.1569950309882,-84.5776769980182,"residential","N",52118,54384,2
930048,39.1569950309882,-84.5776769980182,"residential","Y",51008.25,271530,8
930060,39.1839950543337,-84.5776769980499,"residential","N",76800,96954,5
930060,39.1839950543337,-84.5776769980499,"residential","Y",119128,150190,12
930061,39.1862450562744,-84.5776769980525,"residential","N",90640,113526,7
930061,39.1862450562744,-84.5776769980525,"residential","Y",120595.0935,206298.15,18
930062,39.1884950582143,-84.5776769980552,"residential","N",60440,112640,10
930062,39.1884950582143,-84.5776769980552,"residential","Y",48487.5,147584,35
930063,39.1907450601535,-84.5776769980578,"residential","N",103440,172335.36,5
930063,39.1907450601535,-84.5776769980578,"residential","Y",124913.25,166950,18
930064,39.1929950620919,-84.5776769980604,"residential","N",77580,92906,3
930064,39.1929950620919,-84.5776769980604,"residential","Y",146788.005,216648.7,21
930065,39.1952450640296,-84.5776769980631,"residential","N",85338,142304.8,5
930065,39.1952450640296,-84.5776769980631,"residential","Y",108672,177749,13
930066,39.1974950659665,-84.5776769980657,"residential","N",76800,112247.04,11
930066,39.1974950659665,-84.5776769980657,"residential","Y",70400,276489.4,27
930067,39.1997450679027,-84.5776769980684,"residential","N",61329,77910,2
930067,39.1997450679027,-84.5776769980684,"residential","Y",61372.25,134713.7,8
930068,39.2019950698382,-84.577676998071,"commercial","N",80674,114356,14
930068,39.2019950698382,-84.577676998071,"commercial","Y",81249,197001,37
930068,39.2019950698382,-84.577676998071,"residential","N",54306,79676.3,5
930068,39.2019950698382,-84.577676998071,"residential","Y",62450,100789.35,12
930069,39.2042450717729,-84.5776769980736,"commercial","N",604267.422,604267.422,1
930069,39.2042450717729,-84.5776769980736,"commercial","Y",206483.5,470195,6
930069,39.2042450717729,-84.5776769980736,"residential","N",64609,69822,4
930069,39.2042450717729,-84.5776769980736,"residential","Y",78481.5,152149,16
940015,39.0827442251331,-84.5799362107417,"industrial","N",1704938.4,1704938.4,2
940015,39.0827442251331,-84.5799362107417,"industrial","Y",1111510,1699500,4
940016,39.0849942270948,-84.5799362107446,"commercial","Y",408960,408960,1
940016,39.0849942270948,-84.5799362107446,"residential","N",24058,29832,2
940016,39.0849942270948,-84.5799362107446,"residential","Y",5355.998,71115,4
940021,39.0962442368926,-84.5799362107589,"residential","N",26120,49625.4,5
940021,39.0962442368926,-84.5799362107589,"residential","Y",30412.5,84890,14
940026,39.107494246672,-84.5799362107732,"commercial","Y",51200,51200,1
940026,39.107494246672,-84.5799362107732,"residential","N",56650,74778,9
940026,39.107494246672,-84.5799362107732,"residential","Y",50985,155820,19
940027,39.1097442486257,-84.5799362107761,"commercial","Y",157350,248140,2
940027,39.1097442486257,-84.5799362107761,"residential","N",49852,87756.8,17
940027,39.1097442486257,-84.5799362107761,"residential","Y",32325,265065,57
940028,39.1119942505786,-84.5799362107789,"residential","N",87732.9835,131651.967,2
940028,39.1119942505786,-84.5799362107789,"residential","Y",182874.35,286038.814,4
940029,39.1142442525308,-84.5799362107818,"commercial","Y",138360,138997.5,7
940029,39.1142442525308,-84.5799362107818,"residential","N",48322,77044,4
