"cell_id","lat_cell","long_cell","sum_cost","num_events"
690046,39.1524997376769,-84.5234558829707,10.082,1
690047,39.1547497397045,-84.5234558829674,20.164,2
690049,39.1592497437573,-84.5234558829606,472.101,55
690050,39.1614997457826,-84.5234558829572,1605.16,183
690051,39.1637497478071,-84.5234558829538,318.311,40
690052,39.1659997498308,-84.5234558829505,42.343,8
690057,39.177249759938,-84.5234558829335,91.841,10
690058,39.1794997619571,-84.5234558829302,41.431,5
690059,39.1817497639754,-84.5234558829268,30.246,3
690060,39.183999765993,-84.5234558829234,102.623,15
690061,39.1862497680098,-84.52345588292,115.405,19
690062,39.1884997700258,-84.5234558829166,50.551,6
690063,39.1907497720411,-84.5234558829133,499.035,80
690064,39.1929997740556,-84.5234558829099,978.306,160
690065,39.1952497760693,-84.5234558829065,162.415,17
690066,39.1974997780823,-84.5234558829031,132.473,15
690067,39.1997497800945,-84.5234558828997,171.394,17
700020,39.0939999898756,-84.5257150962056,61.595,7
700021,39.0962499919282,-84.5257150962024,204.291,24
700022,39.09849999398,-84.5257150961993,336.319,37
700023,39.1007499960311,-84.5257150961962,841.762,101
700024,39.1029999980814,-84.5257150961931,1676.221,181
700025,39.1052500001309,-84.52571509619,516.338,56
700026,39.1075000021796,-84.5257150961868,254.369,30
700027,39.1097500042276,-84.5257150961837,356.179,38
700028,39.1120000062748,-84.5257150961806,578.287,61
700029,39.1142500083212,-84.5257150961775,870.078,105
700030,39.1165000103669,-84.5257150961743,649.469,70
700031,39.1187500124118,-84.5257150961712,1084.247,123
700032,39.1210000144559,-84.5257150961681,1518.917,174
700033,39.1232500164992,-84.525715096165,525.671,54
700034,39.1255000185418,-84.5257150961618,847.192,85
700035,39.1277500205836,-84.5257150961587,1328.717,142
700036,39.1300000226246,-84.5257150961556,597.793,64
700037,39.1322500246649,-84.5257150961525,40.328,4
700038,39.1345000267043,-84.5257150961493,385.131,42
700039,39.1367500287431,-84.5257150961462,354.277,37
700040,39.139000030781,-84.5257150961431,975.358,107
700041,39.1412500328182,-84.52571509614,651.794,74
700042,39.1435000348546,-84.5257150961368,234.537,27
700043,39.1457500368902,-84.5257150961337,141.289,15
700044,39.1480000389251,-84.5257150961306,40.328,4
700045,39.1502500409592,-84.5257150961275,131.978,16
700046,39.1525000429925,-84.5257150961243,20.164,2
700047,39.154750045025,-84.5257150961212,10.082,1
700048,39.1570000470568,-84.5257150961181,20.164,2
700049,39.1592500490878,-84.525715096115,787.13,102
700050,39.161500051118,-84.5257150961118,185.884,26
700051,39.1637500531475,-84.5257150961087,132.31,15
700052,39.1660000551762,-84.5257150961056,10.082,1
700058,39.1795000673321,-84.5257150960868,152.304,23
