"cell_id","lat","long","neighborhood","dist","stop_id","lat_stop","long_stop","n_object"
130024,39.1029130144347,-84.3969400619783,"Mt. Washington",0.00447011102148229,2850496,39.104611,-84.392805,12
140024,39.1029157612844,-84.3991992696488,"Mt. Washington",0.00661517336466213,2850496,39.104611,-84.392805,12
150024,39.1029184645334,-84.401458477494,"Mt. Washington",0.0088174457211248,2850496,39.104611,-84.392805,12
200024,39.1029313267689,-84.4127545192423,"East End",0.0141951904456791,2850672,39.113808,-84.421876,6
210024,39.1029337684139,-84.4150137280768,"East End",0.0124770151751604,2850671,39.110561,-84.424888,6
220024,39.1029361664583,-84.4172729370665,"East End",0.0107762363568968,2850671,39.110561,-84.424888,6
230024,39.102938520902,-84.4195321462084,"East End",0.00927587110983122,2852281,39.109428,-84.42616,6
240024,39.102940831745,-84.4217913554998,"East End",0.00782102338173885,2852281,39.109428,-84.42616,6
250024,39.1029430989873,-84.424050564938,"East End",0.00633081942997138,2850669,39.10784,-84.428063,6
260024,39.1029453226289,-84.42630977452,"East End",0.00519919860660142,2850669,39.10784,-84.428063,6
270024,39.1029475026698,-84.4285689842433,"East End",0.00462621603135795,2850668,39.107376,-84.429907,6
280024,39.10294963911,-84.4308281941048,"East End",0.00452120219712173,2850668,39.107376,-84.429907,6
290024,39.1029517319494,-84.4330874041019,"East End",0.00533076795537316,2853391,39.107724,-84.430712,5
300024,39.1029537811881,-84.4353466142317,"East End",0.00643759000948494,1280430,39.10858,-84.432218,6
560024,39.10299175752,-84.4940861150454,"Central Business District",0.00157173244462242,2850662,39.104319,-84.494928,5
570024,39.1029926295371,-84.4963453277029,"Central Business District",0.000618923042471081,1280710,39.103453,-84.496759,5
580024,39.1029934579533,-84.498604540415,"Mt. Adams",0.000868237046963142,2280090,39.10222,-84.498999,5
590024,39.1029942427687,-84.5008637531787,"Mt. Adams",0.00178601603847426,2850055,39.101238,-84.500539,5
600024,39.1029949839833,-84.5031229659914,"Central Business District",0.00118650232266698,1490530,39.102458,-84.504181,11
610024,39.1029956815969,-84.5053821788502,"Central Business District",0.000773574582144286,1010190,39.102279,-84.505091,18
620024,39.1029963356098,-84.5076413917523,"Central Business District",0.00076824433258994,216,39.103268,-84.50836,48
630024,39.1029969460217,-84.5099006046949,"Central Business District",0.000328143941169433,2240010,39.102669,-84.509912,42
640024,39.1029975128329,-84.5121598176752,"Central Business District",0.000443601657737113,2851368,39.103391,-84.511955,31
650024,39.1029980360431,-84.5144190306905,"Central Business District",0.000713464362075249,2210010,39.102336,-84.514685,7
660024,39.1029985156525,-84.5166782437379,"Central Business District",0.000275937696038902,1331000,39.10312,-84.516926,45
670024,39.102998951661,-84.5189374568147,"West End",0.000429825462591966,1330990,39.102878,-84.518525,30
680024,39.1029993440687,-84.521196669918,"West End",0.00117440216463076,1420210,39.102645,-84.520077,32
690024,39.1029996928754,-84.5234558830451,"West End",0.00280512627088844,1670420,39.104357,-84.521001,9
700024,39.1029999980814,-84.5257150961931,"West End",0.00266499135997742,2851186,39.103379,-84.528353,8
710024,39.1030002596864,-84.5279743093593,"Central Business District",0.000493988643764396,1500710,39.103147,-84.528446,8
720024,39.1030004776906,-84.5302335225408,"Central Business District",0.00052722495933327,2500040,39.103494,-84.530419,8
730024,39.1030006520939,-84.5324927357349,"Lower Price Hill",0.000726140685651815,1330950,39.103493,-84.531959,8
740024,39.1030007828963,-84.5347519489389,"Lower Price Hill",0.00110490095719021,1320740,39.103918,-84.535368,8
750024,39.1030008700979,-84.5370111621498,"Lower Price Hill",0.00121931355883986,2100090,39.10422,-84.53699,8
760024,39.1030009136986,-84.5392703753649,"Lower Price Hill",0.00126820887468418,1330940,39.104183,-84.538811,8
770024,39.1030009136984,-84.5415295885814,"Lower Price Hill",0.00296446485884939,1330940,39.104183,-84.538811,8
780024,39.1030008700974,-84.5437888017965,"Lower Price Hill",0.00511624294105177,1330940,39.104183,-84.538811,8
790024,39.1030007828954,-84.5460480150074,"Lower Price Hill",0.00502468197999294,2852922,39.1077,-84.547827,5
800024,39.1030006520926,-84.5483072282113,"Lower Price Hill",0.00405957688737472,2851027,39.105251,-84.551686,8
810024,39.103000477689,-84.5505664414054,"Lower Price Hill",0.00251361534827443,2851027,39.105251,-84.551686,8
820024,39.1030002596844,-84.5528256545869,"Lower Price Hill",0.000925586512255903,1500650,39.103162,-84.553737,1
830024,39.102999998079,-84.5550848677531,"East Price Hill",0.0011400087215309,2500130,39.103179,-84.553959,1
840024,39.1029996928728,-84.5573440809012,"East Price Hill",0.00255389098123841,1320610,39.105441,-84.558094,5
850024,39.1029993440656,-84.5596032940282,"East Price Hill",0.00194107457737098,2850217,39.103591,-84.561452,5
860024,39.1029989516576,-84.5618625071315,"East Price Hill",0.000720442464565623,2850217,39.103591,-84.561452,5
870024,39.1029985156487,-84.5641217202083,"East Price Hill",0.00156238229034297,2850190,39.102198,-84.56278,5
880024,39.102998036039,-84.5663809332557,"East Price Hill",0.000557272063083289,1320540,39.102471,-84.566562,5
890024,39.1029975128284,-84.568640146271,"East Price Hill",0.00214380682014418,1320540,39.102471,-84.566562,5
900024,39.1029969460169,-84.5708993592513,"East Price Hill",0.00290795841991197,1320490,39.105901,-84.57105,5
910024,39.1029963356046,-84.5731585721939,"East Price Hill",0.00308730791042228,1100410,39.106077,-84.573361,5
920024,39.1029956815914,-84.575417785096,"East Price Hill",0.00333748369137759,1320470,39.106333,-84.575451,5
930024,39.1029949839774,-84.5776769979548,"East Price Hill",0.00361294726718299,1320460,39.106395,-84.576455,5
940024,39.1029942427625,-84.5799362107675,"East Price Hill",0.00367012498539837,1100380,39.106552,-84.579035,5
950024,39.1029934579467,-84.5821954235312,"West Price HIll",0.00383110855928346,1320440,39.106737,-84.581381,5
960024,39.1029926295301,-84.5844546362433,"West Price HIll",0.00402534677282268,1100350,39.106975,-84.583868,5
