"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
70048,39.1568956258019,-84.3833848196736,1,3,1,0,18,0,1,15,0,93,0,0,0,132
70049,39.1591456261369,-84.3833848196691,3,20,0,0,59,5,1,14,0,176,20,0,1,299
70050,39.1613956264718,-84.3833848196647,1,21,2,0,46,9,2,37,0,210,10,2,0,340
80013,39.0781486219064,-84.3856440263959,0,2,0,0,9,0,2,14,0,79,2,0,0,108
80014,39.0803986222953,-84.3856440263911,0,7,0,0,18,2,3,17,0,79,5,0,1,132
80015,39.0826486226842,-84.3856440263863,2,8,0,0,31,3,3,1,0,110,1,0,0,159
80016,39.0848986230729,-84.3856440263815,0,7,0,0,27,5,0,4,0,82,2,0,5,132
80017,39.0871486234614,-84.3856440263767,6,9,0,0,27,3,1,8,2,74,0,0,0,130
80018,39.0893986238498,-84.3856440263719,0,21,0,0,45,2,5,11,2,79,1,0,4,170
80019,39.0916486242381,-84.3856440263671,0,11,0,15,52,0,0,24,2,40,1,0,1,146
80020,39.0938986246261,-84.3856440263623,2,33,0,3,56,4,0,27,0,114,2,0,0,241
80021,39.0961486250141,-84.3856440263576,9,62,0,8,78,0,4,13,2,136,0,0,2,314
80022,39.0983986254019,-84.3856440263528,2,5,0,0,21,2,1,5,0,32,0,0,0,68
80023,39.1006486257896,-84.385644026348,5,9,0,0,24,0,1,21,0,54,8,0,0,122
80024,39.1028986261771,-84.3856440263432,0,0,0,0,9,0,0,33,0,61,2,0,1,106
80025,39.1051486265645,-84.3856440263384,0,1,0,0,7,0,0,0,1,30,0,0,0,39
80045,39.1501486342814,-84.3856440262426,0,17,1,0,46,4,1,54,0,159,12,0,0,294
80046,39.1523986346657,-84.3856440262378,0,8,0,0,71,5,4,68,1,177,15,0,2,351
80047,39.1546486350499,-84.385644026233,2,14,0,0,58,4,1,26,0,97,12,1,0,215
80048,39.1568986354339,-84.3856440262282,2,32,0,0,102,8,5,10,0,153,17,1,0,330
80049,39.1591486358178,-84.3856440262235,0,27,4,1,113,5,0,35,4,98,20,0,3,310
80050,39.1613986362015,-84.3856440262187,2,17,0,2,61,0,2,5,0,127,13,0,4,233
80051,39.1636486365851,-84.3856440262139,1,19,0,0,42,0,2,11,0,123,20,1,0,219
80052,39.1658986369686,-84.3856440262091,0,0,0,0,4,0,0,2,0,10,0,0,0,16
90013,39.0781515862231,-84.3879032331552,0,1,0,0,3,1,2,7,1,69,1,0,0,85
90014,39.0804015866609,-84.38790323315,0,3,0,0,24,0,4,6,1,111,0,0,1,150
90015,39.0826515870985,-84.3879032331449,0,4,0,0,10,4,0,11,0,90,3,0,1,123
90016,39.084901587536,-84.3879032331397,4,14,0,0,24,2,0,5,0,81,5,0,4,139
90017,39.0871515879733,-84.3879032331346,9,22,0,0,46,1,0,13,1,82,10,0,3,187
90018,39.0894015884105,-84.3879032331294,0,5,1,0,26,3,2,11,0,113,26,3,5,195
90019,39.0916515888474,-84.3879032331243,4,13,2,0,57,0,3,53,1,30,4,0,0,167
