"CSR","lat","long","accuracy","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"SR17093287",39.1127606,-84.510636,"street_address",0.115898777324311,630028,39.1119969540151,-84.5099006046755,"Mt. Auburn",274621
"SR17084469",39.1380227,-84.5098886,"premise",0.160718675213377,630040,39.138996977923,-84.5099006046173,"Clifton",200052
"SR17084383",39.1105254,-84.4330829,"premise",0.0804495544820306,290027,39.1097017357223,-84.433087404075,"Columbia-Tusculum",273334
"SR17082348",39.0965611,-84.3872211,"street_address",0.150039506799077,90021,39.0961515897209,-84.387903233114,"Mt. Washington",274624
"SR17082337",39.1271857,-84.5363076,"street_address",0.0817410450328674,750035,39.1277508927571,-84.5370111621296,"Camp Washington",199841
"SR17081829",39.1204399,-84.4368191,"premise",0.101242355952517,310032,39.1209557974089,-84.4376058244192,"Columbia-Tusculum",273334
"SR17076258",39.1502703,-84.534219,"premise",0.150777410534474,740045,39.1502508260433,-84.5347519488948,"Clifton",200052
"SR17075471",39.180855,-84.430842,"street_address",0.0540067837382937,280059,39.1816996816691,-84.4308281937925,"Pleasant Ridge",202946
"SR17073277",39.124042,-84.5321,"street_address",0.122168710042301,730033,39.1232506706081,-84.5324927357138,"CUF",273417
"SR17071693",39.1373301,-84.4370825,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17070106",39.1513609,-84.4319137,"premise",0.125806042124866,280046,39.1524496659273,-84.4308281939085,"Oakley",202657
"SR17068939",39.1406241,-84.5994297,"premise",0.0746230279840531,1030041,39.1412356405286,-84.6002691236236,"Westwood",204284
"SR17068177",39.1307384,-84.5107234,"street_address",0.0815875370633058,630036,39.1299969699657,-84.5099006046367,"Corryville",200172
"SR17067872",39.1774255,-84.4277661,"premise",0.117593880640335,270057,39.1771975416631,-84.4285689839509,"Pleasant Ridge",202946
"SR17067864",39.1045569,-84.5186143,"street_address",0.197989995323969,670025,39.1052489536934,-84.5189374568108,"West End",276647
"SR17066711",39.0965611,-84.3872211,"street_address",0.150039506799077,90021,39.0961515897209,-84.387903233114,"Mt. Washington",274624
"SR17065107",39.128011,-84.4157167,"premise",0.150669523832049,210035,39.1276837789934,-84.4150137279868,"Linwood",201803
"SR17063705",39.0955039,-84.3874644,"premise",0.150039506799077,90021,39.0961515897209,-84.387903233114,"Mt. Washington",274624
"SR17061301",39.1201309,-84.4884693,"street_address",0.175064595782288,540032,39.1209898977326,-84.4895676898506,"Walnut Hills",204112
"SR17059900",39.182284,-84.4274139,"street_address",0.147120916890717,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"SR17059379",39.182284,-84.4274139,"street_address",0.147120916890717,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"SR17057537",39.1406227,-84.4160766,"premise",0.0794505628219523,210041,39.1411837847455,-84.4150137279377,"Hyde Park",201414
"SR17056148",39.1821251,-84.4270594,"street_address",0.147120916890717,260059,39.1816953627268,-84.4263097742127,"Pleasant Ridge",202946
"SR17052581",39.1768571,-84.4388803,"premise",0.0815214627912808,320057,39.1772077933672,-84.4398650345797,"Pleasant Ridge",202946
"SR17044367",39.137441,-84.43745,"street_address",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17040986",39.1369186,-84.4364811,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR17038546",39.1882537,-84.4301261,"premise",0.0802936128479742,280061,39.186199684084,-84.4308281937746,"Pleasant Ridge",202946
"SR17036512",39.1399426,-84.4435404,"street_address",0.0904241460099335,340040,39.1389615647748,-84.4443834558779,"Hyde Park",201414
"SR17036503",39.1399426,-84.4435404,"street_address",0.0904241460099335,340040,39.1389615647748,-84.4443834558779,"Hyde Park",201414
"SR17036421",39.176471,-84.520203,"street_address",0.100179360250609,680057,39.1772494109436,-84.5211966697982,"Winton Place",204406
"SR17035745",39.1312456,-84.4221289,"premise",0.138834573132653,240037,39.1321908457455,-84.4217913553882,"Mt. Lookout",274623
"SR17034609",39.1450376,-84.4298827,"street_address",0.0502040722308,280043,39.1456996622835,-84.4308281939353,"Oakley",202657
